Year,Chart,Artist,Song,Genre Combined,Genre 1,Genre 2,Genre 3,Word count,Unique Word Count,Cluster k3,Cluster k4,Cluster k5
1984,32,Lionel Richie,Stuck on You,adult standards disco mellow gold,adult standards, disco, mellow gold,219,84,0,2,4
1984,33,Elton John,I Guess That's Why They Call It the Blues,glam rock mellow gold piano rock,glam rock, mellow gold, piano rock,337,107,0,0,1
1984,34,Cyndi Lauper,She Bop,new wave pop permanent wave soft rock,new wave pop, permanent wave, soft rock,288,85,0,0,1
1984,35,Madonna,Borderline,dance pop pop,dance pop, pop,,383,102,2,0,1
1984,36,Corey Hart,Sunglasses at Night,album rock mellow gold new romantic,album rock, mellow gold, new romantic,345,74,0,0,1
1984,37,Billy Idol,Eyes Without a Face,album rock classic rock dance rock,album rock, classic rock, dance rock,352,140,2,0,1
1984,38,Eurythmics,Here Comes the Rain Again,art rock dance rock europop,art rock, dance rock, europop,302,53,0,0,1
1984,39,Billy Joel,Uptown Girl,classic rock mellow gold piano rock,classic rock, mellow gold, piano rock,310,103,0,0,1
1984,40,Night Ranger,Sister Christian,album rock classic rock glam metal,album rock, classic rock, glam metal,222,81,0,2,4
1984,41,The Cars,Drive,album rock art rock classic rock,album rock, art rock, classic rock,172,51,0,2,4
1984,42,Olivia Newton John,Twist of Fate,adult standards australian dance disco,adult standards, australian dance, disco,327,96,0,0,1
1984,43,Duran Duran,Union of the Snake,dance rock new romantic new wave,dance rock, new romantic, new wave,266,73,0,2,1
1984,44,Huey Lewis and the News,The Heart of Rock & Roll,album rock classic rock mellow gold,album rock, classic rock, mellow gold,323,117,0,0,1
1984,45,Chicago,Hard Habit to Break,adult standards album rock classic rock,adult standards, album rock, classic rock,483,133,2,3,2
1984,46,Scandal,The Warrior,,,,,284,92,0,0,1
1984,47,Peabo Bryson,If Ever You're in My Arms Again,adult standards quiet storm soft rock,adult standards, quiet storm, soft rock,353,100,2,0,1
1984,48,The Pointer Sisters,Automatic,dance pop disco girl group,dance pop, disco, girl group,331,94,0,0,1
1984,49,Shannon,Let the Music Play,,,,,341,104,0,0,1
1984,50,Julio Iglesias and Willie Nelson,To All the Girls I've Loved Before,,,,,265,80,0,2,1
1984,51,Billy Ocean,Caribbean Queen,disco mellow gold new romantic,disco, mellow gold, new romantic,236,88,0,2,4
1984,52,Genesis,That's All,album rock art rock classic rock,album rock, art rock, classic rock,447,106,2,0,2
1984,53,Lionel Richie,Running with the Night,adult standards disco mellow gold,adult standards, disco, mellow gold,241,83,0,2,4
1984,54,Elton John,Sad Songs (Say So Much),glam rock mellow gold piano rock,glam rock, mellow gold, piano rock,438,116,2,0,2
1984,55,Huey Lewis and the News,I Want a New Drug,album rock classic rock mellow gold,album rock, classic rock, mellow gold,268,68,0,2,1
1984,56,Kenny Rogers and Dolly Parton,Islands in the Stream,adult standards classic country pop country,adult standards, classic country pop, country,424,127,2,0,2
1984,57,Pat Benatar,Love Is a Battlefield,album rock classic rock heartland rock,album rock, classic rock, heartland rock,309,106,0,0,1
1984,58,Rod Stewart,Infatuation,classic rock mellow gold soft rock,classic rock, mellow gold, soft rock,189,93,0,2,4
1984,59,Mike Reno and Ann Wilson,Almost Paradise,,,,,153,101,0,2,4
1984,60,ZZ Top,Legs,album rock blues rock classic rock,album rock, blues rock, classic rock,170,85,0,2,4
1984,61,The Jacksons,State of Shock,disco funk motown,disco, funk, motown,338,89,0,0,1
1984,62,Rick Springfield,Love Somebody,album rock australian rock classic rock,album rock, australian rock, classic rock,291,109,0,0,1
