Year,Chart,Artist,Song,Genre,Original Genre
1961,84,My Kind of Girl,Matt Monro,adult standards,adult standards easy listening lounge
1961,85,"Tonight My Love, Tonight",Paul Anka,adult standards,adult standards canadian pop easy listening
1961,86,San Antonio Rose,Floyd Cramer,adult standards,easy listening honky-tonk piano nashville sound
1961,87,Big Bad John,Jimmy Dean,adult standards,nashville sound
1961,88,Good Time Baby,Bobby Rydell,adult standards,adult standards bubblegum pop doo-wop
1961,89,Rubber Ball,Bobby Vee,adult standards,adult standards brill building pop bubblegum pop
1961,90,Missing You,Ray Peterson,rock,adult standards merseybeat rock-and-roll
1961,91,Dum Dum,Brenda Lee,adult standards,adult standards
1961,92,I'm Gonna Knock on Your Door,Eddie Hodges,N/A,
1961,93,You Can Depend on Me,Brenda Lee,adult standards,adult standards
1961,94,Let's Twist Again,Chubby Checker,rock,adult standards bubblegum pop rock-and-roll
1961,95,Take Five,The Dave Brubeck Quartet,jazz,bebop jazz jazz quartet
1961,96,Are You Lonesome Tonight?,Elvis Presley,rock,rock-and-roll rockabilly
1961,97,Sea of Heartbreak,Don Gibson,rock,nashville sound rock-and-roll rockabilly
1961,98,More Money for You and Me,The Four Preps,adult standards,deep adult standards doo-wop vocal harmony group
1961,99,You Must Have Been a Beautiful Baby,Bobby Darin,adult standards,adult standards easy listening lounge
1961,100,Please Stay,The Drifters,adult standards,adult standards bubblegum pop lounge
1962,1,Stranger on the Shore,Acker Bilk,adult standards,adult standards easy listening jazz clarinet
1962,2,I Can't Stop Loving You,Ray Charles,adult standards,adult standards classic soul jazz blues
1962,3,Mashed Potato Time,Dee Dee Sharp,r&b,classic girl group doo-wop philly soul
1962,4,Roses Are Red (My Love),Bobby Vinton,adult standards,adult standards bubblegum pop easy listening
1962,5,The Stripper,David Rose,adult standards,easy listening lounge space age pop
1962,6,Johnny Angel,Shelley Fabares,pop,brill building pop bubblegum pop
1962,7,The Loco Motion,Little Eva,r&b,brill building pop doo-wop rhythm and blues
1962,8,Let Me In,The Sensations,rock,classic girl group early reggae lovers rock
1962,9,The Twist,Chubby Checker,rock,adult standards bubblegum pop rock-and-roll
1962,10,Soldier Boy,The Shirelles,adult standards,adult standards classic girl group doo-wop
1962,11,Hey! Baby,Bruce Channel,rock,rock-and-roll
1962,12,The Wanderer,Dion,rock,adult standards doo-wop rock-and-roll
1962,13,Duke of Earl,Gene Chandler,r&b,chicago soul classic soul motown
1962,14,Palisades Park,Freddy Cannon,r&b,bubblegum pop doo-wop merseybeat
1962,15,Breaking Up Is Hard to Do,Neil Sedaka,adult standards,adult standards brill building pop bubblegum pop
1962,16,Wolverton Mountain,Claude King,country,cowboy western
1962,17,Slow Twistin',Chubby Checker & Dee Dee Sharp,rock,adult standards bubblegum pop rock-and-roll
1962,18,It Keeps Right On a Hurtin',Johnny Tillotson,adult standards,adult standards bubblegum pop doo-wop
1962,19,The One Who Really Loves You,Mary Wells,r&b,classic soul motown soul
1962,20,Good Luck Charm,Elvis Presley,rock,rock-and-roll rockabilly
1962,21,Midnight in Moscow,Kenny Ball,jazz,dixieland new orleans jazz
1962,22,Sheila,Tommy Roe,adult standards,adult standards bubblegum pop classic uk pop
1962,23,Twistin' the Night Away,Sam Cooke,rock,adult standards classic soul rock-and-roll
1962,24,The Wah Watusi,The Orlons,r&b,bubblegum pop classic girl group doo-wop
1962,25,Peppermint Twist,Joey Dee and the Starliters,N/A,
1962,26,Break It to Me Gently,Brenda Lee,adult standards,adult standards
1962,27,Playboy,The Marvelettes,r&b,classic girl group classic soul motown
1962,28,Ramblin' Rose,Nat King Cole,adult standards,adult standards
1962,29,Sealed with a Kiss,Brian Hyland,adult standards,adult standards bubblegum pop merseybeat
1962,30,She Cried,Jay and the Americans,rock,adult standards bubblegum pop classic rock
1962,31,Don't Break the Heart That Loves You,Connie Francis,adult standards,adult standards brill building pop lounge
1962,32,Dear Lady Twist,Gary U.S. Bonds,rock,rhythm and blues rock-and-roll rockabilly
1962,33,Norman,Sue Thompson,adult standards,adult standards deep adult standards
